1,0,[3.80420922e-04 7.53557729e-05 3.65403079e-03 1.61555223e-05],[1.16 1.11 1.16 1.11 1.19 1.11],[1.29 1.18 1.3  1.22 1.35 1.31]
1,1,[0.00044203 0.00026019 0.00164503 0.00862159],[1.13 1.11 1.08 1.11 1.08 1.08],[1.24 1.18 1.16 1.18 1.18 1.13]
1,2,[2.42227054e-04 3.12169651e-06 1.89414086e-04 8.32938012e-08],[1.21 1.21 1.21 1.21 1.29 1.21],[1.4  1.26 1.47 1.36 1.58 1.51]
1,3,[5.65126171e-04 1.14132468e-05 4.36466125e-03 3.52060134e-02],[1.13 1.07 1.02 1.07 1.02 1.02],[1.3  1.14 1.14 1.25 1.25 1.07]
1,4,[5.72306542e-05 2.73802839e-04 1.03193044e-06 9.89775660e-02],[1.17 1.2  1.   1.17 1.   1.  ],[1.28 1.38 1.22 1.36 1.17 1.34]
1,5,[1.81247526e-04 7.75277907e-07 3.85217399e-02 1.38455225e-09],[1.18 1.02 1.18 1.02 1.33 1.02],[1.41 1.18 1.55 1.35 1.65 1.55]
1,6,[1.03591026e-01 2.24588203e-05 1.21940063e-06 4.92517510e-02],[1.   1.   1.   1.23 1.   1.  ],[1.23 1.32 1.   1.38 1.23 1.32]
1,7,[2.58406984e-02 4.10710223e-06 1.75040441e-03 7.70939446e-04],[1.03 1.03 1.03 1.11 1.12 1.11],[1.29 1.11 1.14 1.29 1.31 1.17]
1,8,[2.60646047e-03 3.05254268e-05 2.69481061e-04 3.93273769e-04],[1.13 1.13 1.13 1.15 1.15 1.15],[1.29 1.2  1.18 1.32 1.31 1.27]
1,9,[1.64443014e-05 1.20962573e-02 8.81931101e-06 5.72668303e-03],[1.07 1.24 1.07 1.07 1.07 1.07],[1.25 1.36 1.25 1.28 1.07 1.29]
20,0,[1.16532057e-03 1.24937829e-05 1.09224234e-03 2.37058653e-05],[1.15 1.15 1.15 1.15 1.23 1.15],[1.32 1.18 1.29 1.31 1.38 1.32]
20,1,[3.37684399e-03 3.04155103e-08 1.36975592e-04 2.44371853e-06],[1.11 1.11 1.11 1.19 1.29 1.19],[1.5  1.21 1.33 1.5  1.59 1.41]
20,2,[2.17075592e-02 1.05989574e-03 2.03935063e-04 2.93195758e-05],[1.04 1.04 1.04 1.12 1.12 1.16],[1.12 1.18 1.24 1.2  1.24 1.32]
20,3,[2.16595853e-01 7.57574732e-02 1.29212419e-10 2.17931411e-08],[1.   1.   1.   1.   1.   1.43],[1.   1.57 1.43 1.57 1.43 1.9 ]
20,4,[1.31220543e-02 1.03167255e-04 1.89973060e-04 1.69026212e-06],[1.06 1.06 1.06 1.18 1.18 1.18],[1.21 1.18 1.33 1.25 1.38 1.43]
20,5,[1.89087745e-04 6.70646933e-03 2.13118842e-03 6.77019034e-05],[1.09 1.1  1.16 1.09 1.09 1.1 ],[1.19 1.19 1.27 1.12 1.22 1.25]
20,6,[8.42852295e-04 4.28030553e-03 1.86736420e-08 1.00134425e-02],[1.07 1.11 1.07 1.07 1.07 1.07],[1.14 1.45 1.14 1.45 1.08 1.45]
20,7,[1.59292117e-05 5.95461765e-03 7.74931546e-06 3.14552980e-03],[1.09 1.24 1.09 1.09 1.09 1.09],[1.27 1.38 1.27 1.29 1.1  1.3 ]
20,8,[2.08723198e-05 1.99796121e-03 1.70981033e-05 5.01553575e-04],[1.14 1.22 1.15 1.14 1.14 1.15],[1.31 1.39 1.31 1.27 1.18 1.33]
