K,setting,effect_pattern,correlation,gamma,records,distinct_seeds,enumerative_seconds,proposed_seconds,rejection_fraction_mismatches,mismatch_probability,enumerative_minutes,proposed_minutes,speedup,relative_runtime_reduction
10,1,linear,0.0,1.25,955,954,254.78758394519832,10.782656560940376,58,0.06073298429319374,4.246459732419972,0.17971094268233961,23.62938877865714,0.9576798194245619
10,2,linear,0.0,1.5,955,954,410.4488415272936,6.4580020319948375,21,0.021989528795811508,6.840814025454893,0.10763336719991395,63.55662935592302,0.9842660000989054
10,3,linear,0.0,1.75,955,954,32.1591410651405,0.8477304184568573,5,0.005235602094240788,0.5359856844190084,0.014128840307614288,37.935575231192615,0.973639519266397
10,4,linear,0.2,1.25,955,954,124.09204092470993,9.25357056338601,93,0.09738219895287958,2.068200682078499,0.1542261760564335,13.410179354519661,0.925429781842331
10,5,linear,0.2,1.5,955,954,95.79789508044043,4.301590871444662,35,0.03664921465968585,1.5966315846740071,0.07169318119074437,22.270340890942823,0.955097229768643
10,6,linear,0.2,1.75,955,954,2.2337051512182846,0.44299053635389707,2,0.0020942408376963817,0.03722841918697141,0.007383175605898284,5.042331535122949,0.8016790460852519
10,7,half-null,0.0,1.25,955,954,150.4052543741089,4.917456687585492,31,0.032460732984293195,2.5067542395684814,0.0819576114597582,30.585984570808492,0.9673052865869027
10,8,half-null,0.0,1.5,955,954,122.09286822379386,3.460748971067369,13,0.013612565445026203,2.034881137063231,0.057679149517789484,35.27931937407694,0.9716547819588948
10,9,half-null,0.0,1.75,955,954,5.222857416838624,0.2602809633647033,0,0.0,0.08704762361397707,0.0043380160560783886,20.066229006231257,0.9501650260400464
10,10,half-null,0.2,1.25,955,954,95.68146111561066,4.970374081220419,38,0.039790575916230364,1.594691018593511,0.08283956802034033,19.250354108581934,0.9480529036318249
10,11,half-null,0.2,1.5,955,954,77.82442036941988,3.219848881036845,15,0.015706806282722474,1.2970736728236647,0.05366414801728075,24.17020898954709,0.9586267540991279
10,12,half-null,0.2,1.75,955,954,3.3861723327890396,0.3072274577325449,1,0.0010471204188481353,0.05643620554648399,0.0051204576288757485,11.021711268192872,0.909269987602936
20,1,linear,0.0,1.25,606,606,5956.439119881552,63.98242431300689,339,0.5594059405940595,99.2739853313592,1.0663737385501149,93.09492698717071,0.9892582761234905
20,2,linear,0.0,1.5,606,606,1639.8798161140091,26.131794219865995,90,0.14851485148514854,27.33133026856682,0.4355299036644332,62.75419905409076,0.9840648113580726
20,3,linear,0.0,1.75,606,606,95.2050581914594,2.5753214720635476,9,0.014851485148514865,1.5867509698576567,0.04292202453439246,36.96822288953841,0.9729497411063547
20,4,linear,0.2,1.25,606,606,1878.6547376378198,54.250365079980476,301,0.49669966996699666,31.310912293963664,0.9041727513330079,34.62934737615402,0.9711227592845539
20,5,linear,0.2,1.5,606,606,823.050218424422,22.16441860339964,72,0.1188118811881188,13.717503640407035,0.36940697672332734,37.13385102274599,0.9730703933888393
20,6,linear,0.2,1.75,606,606,29.73204892565334,2.0682754091018793,3,0.004950495049504955,0.495534148760889,0.03447125681836465,14.37528522304681,0.930436162866753
20,7,half-null,0.0,1.25,606,606,6165.425118451202,28.45903181012831,97,0.16006600660066006,102.75708530752004,0.4743171968354718,216.6421247070318,0.9953840925380865
20,8,half-null,0.0,1.5,606,606,2372.6941437049913,13.74440636497279,29,0.04785478547854782,39.54490239508319,0.22907343941621316,172.6298015861734,0.9942072574328898
20,9,half-null,0.0,1.75,606,606,68.36466476718167,1.1169113191760274,2,0.0033003300330033403,1.1394110794530277,0.018615188652933788,61.20867753190642,0.9836624472162672
20,10,half-null,0.2,1.25,606,606,2815.1110028823946,27.015256624995846,79,0.13036303630363033,46.91851671470658,0.4502542770832641,104.20448866947706,0.9904034844106201
20,11,half-null,0.2,1.5,606,606,1216.4127719374123,15.945950038520023,34,0.05610561056105612,20.273546198956872,0.2657658339753337,76.28349323803037,0.9868910041012456
20,12,half-null,0.2,1.75,606,606,46.86919615195353,1.136178074499497,2,0.0033003300330033403,0.7811532691992256,0.018936301241658283,41.25162877535733,0.9757585329431313
