rho,gamma,datasets,exact_mean_bound,naive_mean_bound,exact_probability_at_most_0.75,naive_probability_at_most_0.75,exact_probability_vacuous,naive_probability_vacuous,probability_strict_improvement
0.0,1.0,1000,0.122,0.122,1.0,1.0,0.0,0.0,0.0
0.0,1.25,1000,0.5645,0.63425,0.972,0.893,0.028,0.107,0.231
0.0,1.5,1000,0.8465,0.94325,0.571,0.221,0.429,0.779,0.36
0.0,1.75,1000,0.97575,0.99675,0.097,0.013,0.903,0.987,0.084
0.2,1.0,990,0.1297979797979798,0.1297979797979798,1.0,1.0,0.0,0.0,0.0
0.2,1.25,990,0.5954545454545455,0.6452020202020202,0.9222222222222223,0.8565656565656565,0.07777777777777778,0.14343434343434344,0.16363636363636364
0.2,1.5,990,0.9007575757575758,0.9426767676767677,0.36363636363636365,0.21515151515151515,0.6363636363636364,0.7848484848484848,0.1595959595959596
0.2,1.75,990,0.9916666666666667,0.9967171717171717,0.031313131313131314,0.012121212121212121,0.9686868686868687,0.9878787878787879,0.01919191919191919
