19,0,"[0, 2, 4, 4]","[0, 2, 4, 4]"
19,1,"[0, 3, 4, 4]","[0, 3, 4, 4]"
19,2,"[1, 2, 4, 4]","[1, 2, 4, 4]"
19,3,"[1, 2, 3, 4]","[1, 2, 4, 4]"
19,4,"[1, 3, 3, 4]","[1, 3, 4, 4]"
19,5,"[1, 2, 3, 4]","[1, 2, 3, 4]"
19,6,"[1, 2, 3, 4]","[1, 2, 4, 4]"
19,7,"[1, 4, 4, 4]","[1, 4, 4, 4]"
19,8,"[0, 2, 4, 4]","[0, 3, 4, 4]"
19,9,"[0, 3, 4, 4]","[0, 3, 4, 4]"
13,0,"[0, 2, 4, 4]","[0, 3, 4, 4]"
13,1,"[0, 3, 3, 4]","[0, 3, 3, 4]"
13,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
13,3,"[1, 3, 4, 4]","[1, 3, 4, 4]"
13,4,"[2, 3, 3, 4]","[2, 3, 3, 4]"
13,5,"[0, 2, 2, 3]","[0, 2, 2, 3]"
13,6,"[0, 3, 4, 4]","[0, 3, 4, 4]"
13,7,"[0, 1, 3, 4]","[0, 2, 4, 4]"
13,8,"[1, 2, 3, 3]","[1, 2, 3, 4]"
13,9,"[0, 2, 3, 3]","[0, 2, 3, 4]"
10,0,"[0, 3, 4, 4]","[0, 3, 4, 4]"
10,1,"[0, 2, 3, 3]","[0, 2, 3, 4]"
10,2,"[0, 0, 3, 4]","[0, 0, 4, 4]"
10,3,"[2, 3, 4, 4]","[2, 3, 4, 4]"
10,4,"[0, 2, 3, 4]","[0, 2, 3, 4]"
10,5,"[0, 2, 3, 4]","[0, 2, 4, 4]"
10,6,"[1, 3, 4, 4]","[1, 3, 4, 4]"
10,7,"[0, 0, 3, 4]","[0, 2, 4, 4]"
10,8,"[1, 2, 3, 4]","[1, 2, 4, 4]"
10,9,"[2, 2, 3, 4]","[2, 2, 4, 4]"
0,0,"[0, 1, 3, 4]","[0, 1, 4, 4]"
0,1,"[1, 2, 3, 4]","[1, 2, 4, 4]"
0,2,"[2, 2, 4, 4]","[2, 2, 4, 4]"
0,3,"[0, 1, 3, 4]","[0, 1, 3, 4]"
0,4,"[1, 1, 3, 4]","[1, 1, 4, 4]"
0,5,"[1, 2, 4, 4]","[1, 2, 4, 4]"
0,6,"[1, 2, 4, 4]","[1, 4, 4, 4]"
0,7,"[1, 2, 4, 4]","[1, 3, 4, 4]"
0,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
0,9,"[1, 3, 3, 4]","[1, 3, 3, 4]"
7,0,"[1, 2, 3, 4]","[1, 3, 3, 4]"
7,1,"[0, 3, 4, 4]","[0, 3, 4, 4]"
7,2,"[0, 2, 3, 4]","[0, 2, 3, 4]"
7,3,"[0, 3, 4, 4]","[0, 3, 4, 4]"
7,4,"[0, 3, 3, 4]","[0, 3, 4, 4]"
7,5,"[1, 3, 4, 4]","[1, 3, 4, 4]"
7,6,"[1, 2, 3, 4]","[1, 3, 3, 4]"
7,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
7,8,"[0, 2, 3, 4]","[0, 3, 4, 4]"
7,9,"[0, 3, 4, 4]","[0, 4, 4, 4]"
18,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
18,1,"[1, 3, 4, 4]","[1, 4, 4, 4]"
18,2,"[0, 3, 4, 4]","[0, 3, 4, 4]"
18,3,"[0, 2, 3, 4]","[0, 2, 4, 4]"
18,4,"[0, 3, 3, 4]","[0, 3, 3, 4]"
18,5,"[1, 2, 4, 4]","[1, 3, 4, 4]"
18,6,"[0, 2, 3, 4]","[0, 2, 3, 4]"
18,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
18,8,"[0, 2, 3, 4]","[0, 2, 4, 4]"
18,9,"[1, 2, 3, 3]","[1, 3, 3, 4]"
8,0,"[1, 2, 4, 4]","[1, 3, 4, 4]"
8,1,"[1, 3, 3, 4]","[1, 3, 4, 4]"
8,2,"[1, 3, 4, 4]","[1, 3, 4, 4]"
8,3,"[0, 1, 3, 4]","[0, 3, 4, 4]"
8,4,"[1, 2, 4, 4]","[1, 2, 4, 4]"
8,5,"[1, 2, 4, 4]","[1, 2, 4, 4]"
8,6,"[1, 3, 3, 4]","[1, 3, 4, 4]"
8,7,"[0, 2, 4, 4]","[0, 2, 4, 4]"
8,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
8,9,"[1, 3, 4, 4]","[1, 3, 4, 4]"
2,0,"[1, 4, 4, 4]","[1, 4, 4, 4]"
2,1,"[1, 3, 4, 4]","[1, 3, 4, 4]"
2,2,"[1, 2, 3, 4]","[1, 3, 4, 4]"
2,3,"[0, 2, 3, 4]","[0, 2, 4, 4]"
2,4,"[0, 3, 4, 4]","[0, 4, 4, 4]"
2,5,"[0, 2, 3, 4]","[0, 2, 4, 4]"
2,6,"[0, 3, 4, 4]","[0, 3, 4, 4]"
2,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
2,8,"[1, 2, 3, 4]","[1, 3, 4, 4]"
2,9,"[0, 2, 3, 4]","[0, 2, 4, 4]"
12,0,"[1, 3, 4, 4]","[1, 3, 4, 4]"
12,1,"[0, 2, 3, 4]","[0, 2, 4, 4]"
12,2,"[1, 1, 3, 4]","[1, 1, 4, 4]"
12,3,"[1, 2, 3, 4]","[1, 2, 4, 4]"
12,4,"[0, 1, 3, 4]","[0, 2, 3, 4]"
12,5,"[0, 3, 3, 4]","[0, 3, 3, 4]"
12,6,"[1, 3, 3, 4]","[1, 3, 4, 4]"
12,7,"[0, 3, 3, 4]","[0, 3, 3, 4]"
12,8,"[0, 3, 3, 4]","[0, 3, 4, 4]"
12,9,"[1, 3, 3, 4]","[1, 3, 3, 4]"
17,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
17,1,"[0, 2, 3, 4]","[0, 2, 4, 4]"
17,2,"[2, 3, 4, 4]","[2, 4, 4, 4]"
17,3,"[0, 2, 3, 3]","[0, 2, 3, 4]"
17,4,"[1, 2, 4, 4]","[1, 3, 4, 4]"
17,5,"[0, 3, 3, 4]","[0, 3, 4, 4]"
17,6,"[1, 3, 3, 4]","[1, 3, 3, 4]"
17,7,"[0, 4, 4, 4]","[0, 4, 4, 4]"
17,8,"[0, 1, 2, 4]","[0, 1, 4, 4]"
17,9,"[0, 2, 3, 3]","[0, 2, 3, 4]"
3,0,"[0, 2, 3, 4]","[0, 3, 4, 4]"
3,1,"[0, 1, 3, 3]","[0, 1, 3, 4]"
3,2,"[0, 2, 4, 4]","[0, 2, 4, 4]"
3,3,"[0, 2, 4, 4]","[0, 2, 4, 4]"
3,4,"[0, 3, 3, 4]","[0, 3, 3, 4]"
3,5,"[1, 2, 4, 4]","[1, 2, 4, 4]"
3,6,"[0, 2, 4, 4]","[0, 3, 4, 4]"
3,7,"[0, 3, 4, 4]","[0, 3, 4, 4]"
3,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
3,9,"[0, 3, 4, 4]","[0, 3, 4, 4]"
11,0,"[1, 2, 3, 3]","[1, 2, 3, 4]"
11,1,"[0, 3, 3, 3]","[0, 3, 3, 4]"
11,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
11,3,"[0, 3, 4, 4]","[0, 3, 4, 4]"
11,4,"[1, 3, 4, 4]","[1, 3, 4, 4]"
11,5,"[0, 3, 3, 4]","[0, 3, 3, 4]"
11,6,"[1, 3, 3, 4]","[1, 3, 4, 4]"
