1.5,1,"([0.4, 0.5, 0.7, 0.9, 0.6], [0.07, 0.060000000000000005, 0.12, 0.17, 0.08])"
1.5,2,"([0.4, 0.7, 0.6, 1, 0.4], [0.08, 0.12000000000000001, 0.1, 0.23, 0.05])"
1.5,6,"([0.6, 0.8, 1, 0.7, 0.3], [0.09, 0.12, 0.2, 0.11, 0.030000000000000002])"
1.5,4,"([0.5, 0.9, 0.8, 0.8, 0.2], [0.060000000000000005, 0.14, 0.16999999999999998, 0.1, 0.02])"
1.5,5,"([0.6, 0.5, 0.9, 0.7, 0.5], [0.07, 0.08, 0.13, 0.15, 0.07])"
1.5,12,"([0.6, 0.9, 0.8, 0.5, 0.2], [0.09, 0.11, 0.18, 0.1, 0.030000000000000002])"
1.5,3,"([0.5, 0.4, 0.9, 0.9, 0.1], [0.09, 0.05, 0.13, 0.15, 0.01])"
1.5,10,"([0.5, 0.7, 0.9, 1, 0.1], [0.07, 0.1, 0.17, 0.15000000000000002, 0.02])"
1.5,9,"([0.7, 0.3, 0.9, 1, 0.3], [0.1, 0.030000000000000002, 0.12000000000000001, 0.19, 0.04])"
1.5,11,"([0.3, 0.3, 0.7, 0.9, 0.4], [0.04, 0.05, 0.14, 0.13, 0.05])"
1.5,8,"([0.4, 0.6, 0.9, 1, 0.2], [0.060000000000000005, 0.08, 0.12000000000000001, 0.24000000000000002, 0.030000000000000002])"
1.5,0,"([0.3, 0.7, 0.8, 0.9, 0.1], [0.05, 0.09000000000000001, 0.12000000000000001, 0.14, 0.01])"
1.5,7,"([0.7, 0.4, 1, 0.7, 0.1], [0.11, 0.05, 0.17, 0.09000000000000001, 0.01])"
1.5,13,"([0.4, 0.6, 1, 0.7, 0.2], [0.07, 0.060000000000000005, 0.16, 0.11, 0.04])"
1.5,18,"([0.3, 0.6, 0.6, 1, 0.6], [0.030000000000000002, 0.13, 0.1, 0.18, 0.09000000000000001])"
1.5,15,"([0.3, 0.7, 0.9, 0.6, 0.5], [0.04, 0.09000000000000001, 0.13, 0.09000000000000001, 0.060000000000000005])"
1.5,19,"([0.3, 0.7, 1, 1, 0.3], [0.030000000000000002, 0.1, 0.23, 0.2, 0.030000000000000002])"
1.5,17,"([0.5, 0.6, 0.6, 0.9, 0.4], [0.07, 0.09, 0.11, 0.14, 0.04])"
1.5,23,"([0.5, 0.7, 0.8, 0.7, 0.2], [0.05, 0.12000000000000001, 0.14, 0.17, 0.02])"
1.5,14,"([0.8, 0.9, 0.8, 0.9, 0.2], [0.1, 0.17, 0.12000000000000001, 0.16, 0.030000000000000002])"
