1.25,13,"([0.9, 0.6, 0, 0, 0], [0.15, 0.08, 0.0, 0.0, 0.0])"
1.25,15,"([0.9, 0.5, 0, 0, 0], [0.21, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,14,"([0.9, 0.3, 0.2, 0, 0], [0.13, 0.05, 0.02, 0.0, 0.0])"
1.25,0,"([0.5, 0.6, 0, 0, 0], [0.09000000000000001, 0.07, 0.0, 0.0, 0.0])"
1.25,19,"([0.9, 0.8, 0.2, 0, 0], [0.21, 0.12000000000000001, 0.02, 0.0, 0.0])"
1.25,18,"([0.9, 0.4, 0, 0, 0], [0.13, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,5,"([0.7, 0.5, 0.1, 0, 0], [0.16, 0.07, 0.01, 0.0, 0.0])"
1.25,11,"([0.9, 0.7, 0, 0, 0], [0.11, 0.15, 0.0, 0.0, 0.0])"
1.25,3,"([0.9, 0.5, 0, 0, 0], [0.14, 0.11, 0.0, 0.0, 0.0])"
1.25,7,"([1, 0.7, 0, 0, 0], [0.19, 0.07, 0.0, 0.0, 0.0])"
1.25,1,"([1, 0.7, 0, 0, 0], [0.21000000000000002, 0.09000000000000001, 0.0, 0.0, 0.0])"
1.25,9,"([0.8, 0.6, 0.1, 0, 0], [0.14, 0.08, 0.01, 0.0, 0.0])"
1.25,6,"([0.8, 0.5, 0, 0, 0], [0.14, 0.05, 0.0, 0.0, 0.0])"
1.25,8,"([0.9, 0.5, 0.1, 0, 0], [0.15, 0.060000000000000005, 0.01, 0.0, 0.0])"
1.25,16,"([0.6, 0.5, 0.2, 0, 0], [0.12000000000000001, 0.08, 0.02, 0.0, 0.0])"
1.25,4,"([0.7, 0.7, 0.1, 0, 0], [0.12000000000000001, 0.09, 0.01, 0.0, 0.0])"
1.25,10,"([0.8, 0.8, 0, 0, 0], [0.11, 0.1, 0.0, 0.0, 0.0])"
1.25,17,"([1, 0.5, 0, 0, 0], [0.19, 0.07, 0.0, 0.0, 0.0])"
1.25,12,"([0.8, 0.3, 0.1, 0, 0], [0.14, 0.05, 0.01, 0.0, 0.0])"
1.25,34,"([1, 0.6, 0.1, 0, 0], [0.19, 0.1, 0.01, 0.0, 0.0])"
1.25,33,"([1, 0.4, 0.1, 0, 0], [0.17, 0.05, 0.01, 0.0, 0.0])"
1.25,31,"([0.9, 0.4, 0, 0, 0], [0.15000000000000002, 0.04, 0.0, 0.0, 0.0])"
1.25,35,"([0.7, 1, 0, 0, 0], [0.13, 0.15, 0.0, 0.0, 0.0])"
1.25,39,"([0.9, 0.5, 0, 0, 0], [0.17, 0.05, 0.0, 0.0, 0.0])"
1.25,37,"([1, 0.6, 0, 0, 0], [0.19, 0.08, 0.0, 0.0, 0.0])"
1.25,32,"([0.8, 0.6, 0, 0, 0], [0.2, 0.09000000000000001, 0.0, 0.0, 0.0])"
1.25,20,"([0.6, 0.6, 0.1, 0, 0], [0.15, 0.1, 0.01, 0.0, 0.0])"
1.25,36,"([1, 0.8, 0, 0, 0], [0.23, 0.1, 0.0, 0.0, 0.0])"
1.25,25,"([0.8, 0.9, 0.1, 0, 0], [0.13, 0.1, 0.01, 0.0, 0.0])"
1.25,27,"([0.7, 0.5, 0.1, 0, 0], [0.12, 0.060000000000000005, 0.01, 0.0, 0.0])"
1.25,38,"([0.9, 0.5, 0.1, 0, 0], [0.21, 0.060000000000000005, 0.01, 0.0, 0.0])"
1.25,26,"([1, 0.4, 0.1, 0, 0], [0.2, 0.04, 0.01, 0.0, 0.0])"
1.25,49,"([0.9, 0.7, 0.1, 0, 0], [0.17, 0.07, 0.01, 0.0, 0.0])"
1.25,30,"([0.8, 0.7, 0, 0, 0], [0.1, 0.07, 0.0, 0.0, 0.0])"
1.25,50,"([0.8, 0.6, 0, 0, 0], [0.15, 0.08, 0.0, 0.0, 0.0])"
1.25,29,"([0.9, 0.5, 0, 0, 0], [0.13, 0.09, 0.0, 0.0, 0.0])"
1.25,51,"([0.8, 0.6, 0, 0, 0], [0.16, 0.07, 0.0, 0.0, 0.0])"
1.25,45,"([0.8, 0.6, 0, 0, 0], [0.16, 0.08, 0.0, 0.0, 0.0])"
1.25,40,"([0.8, 0.6, 0, 0, 0], [0.15, 0.08, 0.0, 0.0, 0.0])"
1.25,22,"([1, 0.5, 0.1, 0, 0], [0.15, 0.05, 0.01, 0.0, 0.0])"
1.25,44,"([0.7, 0.7, 0.1, 0, 0], [0.17, 0.12000000000000001, 0.01, 0.0, 0.0])"
1.25,46,"([0.7, 0.5, 0.1, 0, 0], [0.16, 0.09000000000000001, 0.01, 0.0, 0.0])"
1.25,47,"([0.7, 0.6, 0.1, 0, 0], [0.1, 0.09000000000000001, 0.01, 0.0, 0.0])"
1.25,52,"([0.9, 0.3, 0, 0, 0], [0.23, 0.030000000000000002, 0.0, 0.0, 0.0])"
1.25,28,"([0.9, 0.6, 0, 0, 0], [0.18, 0.1, 0.0, 0.0, 0.0])"
1.25,59,"([0.9, 0.7, 0, 0, 0], [0.17, 0.09000000000000001, 0.0, 0.0, 0.0])"
1.25,21,"([0.8, 0.9, 0.1, 0, 0], [0.16, 0.11, 0.01, 0.0, 0.0])"
